it_co_receita,it_no_receita
8740,FUNRESPOL - Taxa para autorização de estacionamento de veículos,8740 - FUNRESPOL - Taxa para autorização de estacionamento de veículos
8741,"FUNRESPOL - Taxa para alvará de empresas de comércio de jóias, pedras ou metais preciosos","8741 - FUNRESPOL - Taxa para alvará de empresas de comércio de jóias, pedras ou metais preciosos"
8742,FUNRESPOL - Taxa para alvará de empresas fornecedoras ou instaladoras de alarme residenciais,8742 - FUNRESPOL - Taxa para alvará de empresas fornecedoras ou instaladoras de alarme residenciais
8743,FUNRESPOL - Taxa para alvará de empresas fornecedoras ou instaladoras de alarme em veículos,8743 - FUNRESPOL - Taxa para alvará de empresas fornecedoras ou instaladoras de alarme em veículos
8744,FUNRESPOL - Taxa para alvará de empresas confeccionadoras de chaves e especialistas em consertos de fechaduras,8744 - FUNRESPOL - Taxa para alvará de empresas confeccionadoras de chaves e especialistas em consertos de fechaduras
8745,"FUNRESPOL - Taxa para alvará de empresas de transportes blindados de valores, de acordo com a legislação vigente","8745 - FUNRESPOL - Taxa para alvará de empresas de transportes blindados de valores, de acordo com a legislação vigente"
8746,"FUNRESPOL - Taxa para alvará de empresas de segurança bancária de conformidade com a legislação vigente, por exercício","8746 - FUNRESPOL - Taxa para alvará de empresas de segurança bancária de conformidade com a legislação vigente, por exercício"
8747,FUNRESPOL - Taxa diária para motocicletas em geral apreendidas nas delegacias,8747 - FUNRESPOL - Taxa diária para motocicletas em geral apreendidas nas delegacias
8748,FUNRESPOL - Taxa diária para veículos de passeio e utilitários apreendidos nas delegacias,8748 - FUNRESPOL - Taxa diária para veículos de passeio e utilitários apreendidos nas delegacias
8749,FUNRESPOL - Taxa diária para veículos de transportes até o limite de 12 (doze) passageiros apreendidos nas delegacias,8749 - FUNRESPOL - Taxa diária para veículos de transportes até o limite de 12 (doze) passageiros apreendidos nas delegacias
8750,FUNRESPOL - Taxa diária para veículos de transportes acima do limite de 12 (doze) passageiros apreendidos nas delegacias,8750 - FUNRESPOL - Taxa diária para veículos de transportes acima do limite de 12 (doze) passageiros apreendidos nas delegacias
8751,FUNRESPOL - Taxa diária para caminhões e tratores em gera l apreendidos nas delegacias,8751 - FUNRESPOL - Taxa diária para caminhões e tratores em gera l apreendidos nas delegacias
8752,FUNRESPOL - Taxa para alvará para agências de detetives particulares,8752 - FUNRESPOL - Taxa para alvará para agências de detetives particulares
8753,FUNRESPOL - Taxa para alvará de oficinas de qualquer espécie que comercializem ou reformem armas em geral,8753 - FUNRESPOL - Taxa para alvará de oficinas de qualquer espécie que comercializem ou reformem armas em geral
8754,"FUNRESPOL - Taxa para alvará d e fabrico, importação , exportação de armas, munições, inflamáveis e produtos químicos, agressivos e corrosivos","8754 - FUNRESPOL - Taxa para alvará d e fabrico, importação , exportação de armas, munições, inflamáveis e produtos químicos, agressivos e corrosivos"
8755,FUNRESPOL - Taxa para alvará de escritórios de representações de armas e munições,8755 - FUNRESPOL - Taxa para alvará de escritórios de representações de armas e munições
8756,FUNRESPOL - Taxa para alvará de casas d e revendas de armas e munições,8756 - FUNRESPOL - Taxa para alvará de casas d e revendas de armas e munições
8757,FUNRESPOL - Taxa para alvará de postos d e gasolina,8757 - FUNRESPOL - Taxa para alvará de postos d e gasolina
8758,FUNRESPOL - Taxa para alvará d e depósitos de explosivos ou inflamáveis,8758 - FUNRESPOL - Taxa para alvará d e depósitos de explosivos ou inflamáveis
8759,FUNRESPOL - Taxa para alvará de firmas de comércio atacadista de fogos de artifícios,8759 - FUNRESPOL - Taxa para alvará de firmas de comércio atacadista de fogos de artifícios
8760,FUNRESPOL - Taxa para alvará de firmas de comércio varejista de fogos de artifícios,8760 - FUNRESPOL - Taxa para alvará de firmas de comércio varejista de fogos de artifícios
8761,"FUNRESPOL - Taxa para licença para transporte de mostruário de armas e munição, por exercício","8761 - FUNRESPOL - Taxa para licença para transporte de mostruário de armas e munição, por exercício"
8762,"FUNRESPOL - Taxa para licença de habilitação para exercer a profissão de encarregado de jogo e/ou técnico de explosivos ""blaster""","8762 - FUNRESPOL - Taxa para licença de habilitação para exercer a profissão de encarregado de jogo e/ou técnico de explosivos ""blaster"""
8763,FUNRESPOL - Taxa para licença para transporte de inflamáveis ou explosivos - pessoa física,8763 - FUNRESPOL - Taxa para licença para transporte de inflamáveis ou explosivos - pessoa física
8764,FUNRESPOL - Taxa para licença para transporte de inflamáveis ou explosivos - pessoa jurídica,8764 - FUNRESPOL - Taxa para licença para transporte de inflamáveis ou explosivos - pessoa jurídica
8765,FUNRESPOL - Taxa para licença para o uso ou em prego de explosivo,8765 - FUNRESPOL - Taxa para licença para o uso ou em prego de explosivo
8766,FUNRESPOL - Taxa para registro de arma de defesa permanente - arma nova,8766 - FUNRESPOL - Taxa para registro de arma de defesa permanente - arma nova
8767,FUNRESPOL - Taxa para registro de arma de defesa permanente - arma usada,8767 - FUNRESPOL - Taxa para registro de arma de defesa permanente - arma usada
8768,FUNRESPOL - Taxa para registro de arma de tiro ao alvo c/ ou caça,8768 - FUNRESPOL - Taxa para registro de arma de tiro ao alvo c/ ou caça
8769,FUNRESPOL - Taxa para transferência de registro em geral,8769 - FUNRESPOL - Taxa para transferência de registro em geral
8770,"FUNRESPOL - Taxa para autorização de 1º porte - compreendendo: certificado de habilitação, autorização para a com pra de arma e munição, exame d e proeficiência de arma e a expedição do porte","8770 - FUNRESPOL - Taxa para autorização de 1º porte - compreendendo: certificado de habilitação, autorização para a com pra de arma e munição, exame d e proeficiência de arma e a expedição do porte"
8771,FUNRESPOL - Taxa para renovação do porte de arma,8771 - FUNRESPOL - Taxa para renovação do porte de arma
8772,FUNRESPOL - Taxa para exame de proeficiência de arma,8772 - FUNRESPOL - Taxa para exame de proeficiência de arma
8773,FUNRESPOL - Taxa para trânsito de arma de tiro ao alvo e caça,8773 - FUNRESPOL - Taxa para trânsito de arma de tiro ao alvo e caça
8774,FUNRESPOL - Taxa para a compra de armas e munições,8774 - FUNRESPOL - Taxa para a compra de armas e munições
8775,FUNRESPOL - Taxa para exame psicotécnico para expedição do porte de arma,8775 - FUNRESPOL - Taxa para exame psicotécnico para expedição do porte de arma
8776,FUNRESPOL - Taxa para restituição de arma apreendida,8776 - FUNRESPOL - Taxa para restituição de arma apreendida
8777,FUNRESPOL - Taxa para certificado de habilitação para o porte de arma,8777 - FUNRESPOL - Taxa para certificado de habilitação para o porte de arma
8778,"FUNRESPOL - Taxa para expedição de carteira para vigilante, vigias guardiões","8778 - FUNRESPOL - Taxa para expedição de carteira para vigilante, vigias guardiões"
8779,FUNRESPOL - Taxa para certificados diversos compreendidos nesta tabela de competência do DOPS,8779 - FUNRESPOL - Taxa para certificados diversos compreendidos nesta tabela de competência do DOPS
8801,DER - Taxa de requerimento,8801 - DER - Taxa de requerimento
8802,DER - Taxa de expediente,8802 - DER - Taxa de expediente
8803,DER - Taxa de mudança de horário,8803 - DER - Taxa de mudança de horário
8804,DER - Taxa de vistoria de veículos,8804 - DER - Taxa de vistoria de veículos
8805,DER - Taxa de viagem extraordinária e omissão,8805 - DER - Taxa de viagem extraordinária e omissão
8806,DER - Taxa de licença especial com permissão de linha,8806 - DER - Taxa de licença especial com permissão de linha
8807,DER - Taxa de licença especial sem permissão de linha,8807 - DER - Taxa de licença especial sem permissão de linha
8808,DER - Taxa de fretamento eventual,8808 - DER - Taxa de fretamento eventual
8809,DER - Taxa de fretamento contínuo,8809 - DER - Taxa de fretamento contínuo
8810,DER - Taxa de registro de empresa e renovação até 10 veículos,8810 - DER - Taxa de registro de empresa e renovação até 10 veículos
8811,DER - Taxa de registro de empresa e renovação de 11 a 3 0 veículos,8811 - DER - Taxa de registro de empresa e renovação de 11 a 3 0 veículos
8812,DER - Taxa de registro de empresa e renovação de 31 a 5 0 veículos,8812 - DER - Taxa de registro de empresa e renovação de 31 a 5 0 veículos
8813,DER - Taxa de registro de empresa e renovação de 51 a 1 00 veículos,8813 - DER - Taxa de registro de empresa e renovação de 51 a 1 00 veículos
8814,DER - Taxa de registro de empresa e renovação d e 101 a 200 veículos,8814 - DER - Taxa de registro de empresa e renovação d e 101 a 200 veículos
8815,DER - Taxa de registro de empresa e renovação acima de 2 00 veículos,8815 - DER - Taxa de registro de empresa e renovação acima de 2 00 veículos
8816,DER - Obras Rod- Taxa de emissão de certidões diversas,8816 - DER - Obras Rod- Taxa de emissão de certidões diversas
8817,"DER - Obras Rod- Taxa de a testado d e execução de obra s ou serviços, desempenho, capacidade ou idoneidade de firmas","8817 - DER - Obras Rod- Taxa de a testado d e execução de obra s ou serviços, desempenho, capacidade ou idoneidade de firmas"
8818,DER - Obras Rod- Taxa de atestado de regularidade de obras/serviços,8818 - DER - Obras Rod- Taxa de atestado de regularidade de obras/serviços
8819,DER - Obras Rod- Taxa de cópia de qualquer documento produzido pelo órgão e requerido por terceiros,8819 - DER - Obras Rod- Taxa de cópia de qualquer documento produzido pelo órgão e requerido por terceiros
8820,DER - Obras Rod- Taxa de mapa rodoviário a cores,8820 - DER - Obras Rod- Taxa de mapa rodoviário a cores
8821,DER - Obras Rod- Taxa de termo de recebimento de finitivo de obras,8821 - DER - Obras Rod- Taxa de termo de recebimento de finitivo de obras
8822,DER - Obras Rod- Taxa de expediente,8822 - DER - Obras Rod- Taxa de expediente
8823,DER - Multa Aplicada em contrato de empreitada,8823 - DER - Multa Aplicada em contrato de empreitada
8824,DER - Dívida apurada em processo de tomada de contas especial,8824 - DER - Dívida apurada em processo de tomada de contas especial
5507,DER - Dívida Ativa não tributária - Auto de Infração,5507 - DER - Dívida Ativa não tributária - Auto de Infração
8851,DEOSP - Const. Civil - Taxa d e certidões diversas,8851 - DEOSP - Const. Civil - Taxa d e certidões diversas
8852,"DEOSP - Const. Civil - Taxa de atestado de execução de obras ou serviços, desempenho, capacidade ou idoneidade de firmas","8852 - DEOSP - Const. Civil - Taxa de atestado de execução de obras ou serviços, desempenho, capacidade ou idoneidade de firmas"
8853,DEOSP - Const. Civil - Taxa de atestado de visitas/certificado de regularidade de obras,8853 - DEOSP - Const. Civil - Taxa de atestado de visitas/certificado de regularidade de obras
8854,DEOSP - Const. Civil - Taxa de inscrição ou atualização de cadastro de fornecedores de bens ou serviços,8854 - DEOSP - Const. Civil - Taxa de inscrição ou atualização de cadastro de fornecedores de bens ou serviços
8855,DEOSP - Const. Civil - Taxa de cópia de qualquer documento produzido pelo órgão e requerido por terceiros,8855 - DEOSP - Const. Civil - Taxa de cópia de qualquer documento produzido pelo órgão e requerido por terceiros
8856,DEOSP - Const. Civil - Taxa de cópia de desenho (projeto) ou cópia heliográfica por m 2,8856 - DEOSP - Const. Civil - Taxa de cópia de desenho (projeto) ou cópia heliográfica por m 2
8857,DEOSP - Const. Civil - Taxa de mapa rodoviario a cores,8857 - DEOSP - Const. Civil - Taxa de mapa rodoviario a cores
8858,DEOSP - Const. Civil - Taxa de termo de recebimento definitivo de obras,8858 - DEOSP - Const. Civil - Taxa de termo de recebimento definitivo de obras
8859,DEOSP - Const. Civil - Multa Contratual,8859 - DEOSP - Const. Civil - Multa Contratual
8860,DEOSP - Const. Civil - Taxa d e impetração d e recursos diversos,8860 - DEOSP - Const. Civil - Taxa d e impetração d e recursos diversos
8861,DEOSP - Const. Civil - Taxa d e certidão de a provação de localidade de postos de derivados de petróleo,8861 - DEOSP - Const. Civil - Taxa d e certidão de a provação de localidade de postos de derivados de petróleo
8862,DEOSP - Const. Civil - Taxa de expediente,8862 - DEOSP - Const. Civil - Taxa de expediente
8901,"AGEVISA - Concessão de alvará de saúde , licença ou autorização de estabelecimento até 100m 2","8901 - AGEVISA - Concessão de alvará de saúde , licença ou autorização de estabelecimento até 100m 2"
8902,"AGEVISA - Concessão de alvará de saúde, licença ou autorização de estabelecimento com 101 à 500m2","8902 - AGEVISA - Concessão de alvará de saúde, licença ou autorização de estabelecimento com 101 à 500m2"
8903,"AGEVISA - Concessão de alvará de saúde , licença ou autorização de estabelecimento com 501 à 1000m 2","8903 - AGEVISA - Concessão de alvará de saúde , licença ou autorização de estabelecimento com 501 à 1000m 2"
8904,"AGEVISA - Concessão de alvará de saúde, licença ou autorização de estabelecimento com 1001 à 2000m 2","8904 - AGEVISA - Concessão de alvará de saúde, licença ou autorização de estabelecimento com 1001 à 2000m 2"
8905,"AGEVISA - Concessão de alvará de saúde , licença ou autorização de estabelecimento com 2001 à 3000m 2","8905 - AGEVISA - Concessão de alvará de saúde , licença ou autorização de estabelecimento com 2001 à 3000m 2"
8906,"AGEVISA - Concessão de alvará de saúde, licença ou autorização de estabelecimento com 3001 à 5000m 2","8906 - AGEVISA - Concessão de alvará de saúde, licença ou autorização de estabelecimento com 3001 à 5000m 2"
8907,AGEVISA - Analise de projetos arquitetônicos- até 100m 2,8907 - AGEVISA - Analise de projetos arquitetônicos- até 100m 2
8908,AGEVISA - Analise de projetos arquitetônicos- de 101 a 500m2,8908 - AGEVISA - Analise de projetos arquitetônicos- de 101 a 500m2
8909,AGEVISA - Analise de projetos arquitetônicos- de 501 a 1000m2,8909 - AGEVISA - Analise de projetos arquitetônicos- de 501 a 1000m2
8910,AGEVISA - Analise de projetos arquitetônicos- de 1001 a 2000m 2,8910 - AGEVISA - Analise de projetos arquitetônicos- de 1001 a 2000m 2
8911,AGEVISA - Analise de projetos arquitetônicos- de 2001 a 3000m 2,8911 - AGEVISA - Analise de projetos arquitetônicos- de 2001 a 3000m 2
8912,AGEVISA - Analise de projetos arquitetônicos- de 3001 a 5000m 2,8912 - AGEVISA - Analise de projetos arquitetônicos- de 3001 a 5000m 2
8913,AGEVISA - Analise de projetos arquitetônicos- acima de 5000m 2,8913 - AGEVISA - Analise de projetos arquitetônicos- acima de 5000m 2
8914,"AGEVISA - Atestado, laudo, parecer técnico ou certidão como resultado da inspeção sanitária","8914 - AGEVISA - Atestado, laudo, parecer técnico ou certidão como resultado da inspeção sanitária"
8915,"AGEVISA - Atestado, laudo, parecer técnico ou certidão como resultado da inspeção sanitária subseqüente","8915 - AGEVISA - Atestado, laudo, parecer técnico ou certidão como resultado da inspeção sanitária subseqüente"
8916,AGEVISA - Certificados não especificados,8916 - AGEVISA - Certificados não especificados
8917,AGEVISA - 2º via do documento,8917 - AGEVISA - 2º via do documento
8918,AGEVISA - Anuência em documentos,8918 - AGEVISA - Anuência em documentos
8919,AGEVISA - Qualquer alteração de em presa,8919 - AGEVISA - Qualquer alteração de em presa
8920,AGEVISA - Certidão Negativa,8920 - AGEVISA - Certidão Negativa
8921,AGEVISA - Cancelamento do alvará de saíde,8921 - AGEVISA - Cancelamento do alvará de saíde
8922,AGEVISA - Suspensão de atividade de empresa,8922 - AGEVISA - Suspensão de atividade de empresa
8923,AGEVISA - Multa de Auto de Infração,8923 - AGEVISA - Multa de Auto de Infração
8924,AGEVISA - Certificado de baixa / Alteração de responsabilidade técnica,8924 - AGEVISA - Certificado de baixa / Alteração de responsabilidade técnica
8925,AGEVISA - Certidão de Regularidade,8925 - AGEVISA - Certidão de Regularidade
8926,AGEVISA - Requerimento em geral,8926 - AGEVISA - Requerimento em geral
8927,AGEVISA - Pedido de Inspeção no município sede,8927 - AGEVISA - Pedido de Inspeção no município sede
8928,AGEVISA - Pedido de Inspeção fora do município sede,8928 - AGEVISA - Pedido de Inspeção fora do município sede
8929,AGEVISA - Laudo técnico para inutilização de produtos até 100 kg ou litros,8929 - AGEVISA - Laudo técnico para inutilização de produtos até 100 kg ou litros
8930,AGEVISA AGEVISA - Laudo técnico para inutilização de produtos de 101 à 300 kg ou litros,8930 - AGEVISA AGEVISA - Laudo técnico para inutilização de produtos de 101 à 300 kg ou litros
8931,AGEVISA AGEVISA - Laudo técnico para inutilização de produtos de 301 à 500 kg ou litros,8931 - AGEVISA AGEVISA - Laudo técnico para inutilização de produtos de 301 à 500 kg ou litros
8932,AGEVISA AGEVISA - Laudo técnico para inutilização de produtos de 501 à 1000 kg ou litros,8932 - AGEVISA AGEVISA - Laudo técnico para inutilização de produtos de 501 à 1000 kg ou litros
8933,AGEVISA AGEVISA - Laudo técnico para inutilização de produtos acima de 1000 kg ou litros,8933 - AGEVISA AGEVISA - Laudo técnico para inutilização de produtos acima de 1000 kg ou litros
9001,SEDAM - Taxa de Registro e Licenças Ambientais,9001 - SEDAM - Taxa de Registro e Licenças Ambientais
9002,SEDAM - Taxas Oriundas de A tividades Florestais,9002 - SEDAM - Taxas Oriundas de A tividades Florestais
9003,SEDAM - Multas por Infração à Legislação Am biental,9003 - SEDAM - Multas por Infração à Legislação Am biental
9004,SEDAM - Multas e Taxas Emitidas pelos Conveniados da SEDAM,9004 - SEDAM - Multas e Taxas Emitidas pelos Conveniados da SEDAM
9100,BOMBEIROS - Taxa de com bate a incêndio,9100 - BOMBEIROS - Taxa de com bate a incêndio
9101,BOMBEIROS - Taxa de vistoria de veículos de passeio,9101 - BOMBEIROS - Taxa de vistoria de veículos de passeio
9102,BOMBEIROS - Taxa de vistoria de veículos coletivo rodoviário e urbanos,9102 - BOMBEIROS - Taxa de vistoria de veículos coletivo rodoviário e urbanos
9103,BOMBEIROS - Taxa de com bate a incêndio imóveis residencial de qualquer natureza,9103 - BOMBEIROS - Taxa de com bate a incêndio imóveis residencial de qualquer natureza
9104,BOMBEIROS - Taxa de com bate a incêndio imóveis com erc . e ou serv . de qualquer natureza,9104 - BOMBEIROS - Taxa de com bate a incêndio imóveis com erc . e ou serv . de qualquer natureza
9105,BOMBEIROS - Taxa de com bate a incêndio imóveis industrial de qualquer natureza,9105 - BOMBEIROS - Taxa de com bate a incêndio imóveis industrial de qualquer natureza
9106,BOMBEIROS - cadastro de firma prof. por pessoa jurídica,9106 - BOMBEIROS - cadastro de firma prof. por pessoa jurídica
9107,BOMBEIROS - cadastro de firma prof. por pessoa física,9107 - BOMBEIROS - cadastro de firma prof. por pessoa física
9108,BOMBEIROS - vistoria edif. resid. até 205 m2,9108 - BOMBEIROS - vistoria edif. resid. até 205 m2
9109,"BOMBEIROS - vistoria edif. resid. de 205,01 até 50 0 m2","9109 - BOMBEIROS - vistoria edif. resid. de 205,01 até 50 0 m2"
9110,"BOMBEIROS - vistoria edif. resid. de 500,01 até 10 00 m2","9110 - BOMBEIROS - vistoria edif. resid. de 500,01 até 10 00 m2"
9111,"BOMBEIROS - vistoria edif. resid. de 1000,01 até 2000 m 2","9111 - BOMBEIROS - vistoria edif. resid. de 1000,01 até 2000 m 2"
9112,"BOMBEIROS - vistoria edif. resid. de 2000,01 até 4000 m 2","9112 - BOMBEIROS - vistoria edif. resid. de 2000,01 até 4000 m 2"
9113,BOMBEIROS - vistoria edif. resid. acima de 4000 m 2,9113 - BOMBEIROS - vistoria edif. resid. acima de 4000 m 2
9114,BOMBEIROS - vistoria edif. comerc . até 205 m2,9114 - BOMBEIROS - vistoria edif. comerc . até 205 m2
9115,"BOMBEIROS - vistoria edif. comerc . de 205,01 até 500 m 2","9115 - BOMBEIROS - vistoria edif. comerc . de 205,01 até 500 m 2"
9116,"BOMBEIROS - vistoria edif. comerc . de 500,01 até 1000 m2","9116 - BOMBEIROS - vistoria edif. comerc . de 500,01 até 1000 m2"
9117,"BOMBEIROS - vistoria edif. comerc . de 100,01 até 2000 m2","9117 - BOMBEIROS - vistoria edif. comerc . de 100,01 até 2000 m2"
9118,"BOMBEIROS - vistoria edif. comerc . de 2000,01 até 4000 m 2","9118 - BOMBEIROS - vistoria edif. comerc . de 2000,01 até 4000 m 2"
9120,BOMBEIROS - vistoria edif. industria l a té 205 m2,9120 - BOMBEIROS - vistoria edif. industria l a té 205 m2
9121,"BOMBEIROS - vistoria edif. industria l de 205,01 até 5 00 m2","9121 - BOMBEIROS - vistoria edif. industria l de 205,01 até 5 00 m2"
9122,"BOMBEIROS - vistoria edif. industria l de 500,01 até 1000 m 2","9122 - BOMBEIROS - vistoria edif. industria l de 500,01 até 1000 m 2"
9123,"BOMBEIROS - vistoria edif. industria l de 100,01 até 2000 m 2","9123 - BOMBEIROS - vistoria edif. industria l de 100,01 até 2000 m 2"
9124,"BOMBEIROS - vistoria edif. industria l de 2000,01 até 4000 m 2","9124 - BOMBEIROS - vistoria edif. industria l de 2000,01 até 4000 m 2"
9125,BOMBEIROS - vistoria edif. industria l acima de 4000 m 2,9125 - BOMBEIROS - vistoria edif. industria l acima de 4000 m 2
9126,BOMBEIROS - taxa de p erícia de incêndio hora trabalhada,9126 - BOMBEIROS - taxa de p erícia de incêndio hora trabalhada
9127,"BOMBEIROS - taxa de análise de proj. de seg. contra incêndio - Risco""A""","9127 - BOMBEIROS - taxa de análise de proj. de seg. contra incêndio - Risco""A"""
9128,"BOMBEIROS - taxa de análise de proj. de seg. contra incêndio - Risco ""B""","9128 - BOMBEIROS - taxa de análise de proj. de seg. contra incêndio - Risco ""B"""
9129,"BOMBEIROS - taxa de análise de proj. de seg. contra incêndio - Risco ""C""","9129 - BOMBEIROS - taxa de análise de proj. de seg. contra incêndio - Risco ""C"""
9130,"BOMBEIROS - taxa de análise de proj. de seg. contra incêndio - Risco ""A""","9130 - BOMBEIROS - taxa de análise de proj. de seg. contra incêndio - Risco ""A"""
9131,"BOMBEIROS - Tx vist. tec. e tes te de pro va eq. comb. incêndio - Risco ""B""","9131 - BOMBEIROS - Tx vist. tec. e tes te de pro va eq. comb. incêndio - Risco ""B"""
9132,"BOMBEIROS - Tx vist. tec. e tes te de pro va eq. comb. incêndio - Risco ""C""","9132 - BOMBEIROS - Tx vist. tec. e tes te de pro va eq. comb. incêndio - Risco ""C"""
9133,BOMBEIROS - tx serv.especiais Art 12 desta lei,9133 - BOMBEIROS - tx serv.especiais Art 12 desta lei
9134,BOMBEIROS - tx prev.oper.ind.e salv.Art.13 d/. Lei,9134 - BOMBEIROS - tx prev.oper.ind.e salv.Art.13 d/. Lei
9136,BOMBEIROS - taxa de vistorias,9136 - BOMBEIROS - taxa de vistorias
9137,BOMBEIROS - taxa de tes tes,9137 - BOMBEIROS - taxa de tes tes
9138,BOMBEIROS - tx de anal.de proj.de inst de gás canal.em ed. .,9138 - BOMBEIROS - tx de anal.de proj.de inst de gás canal.em ed. .
9139,BOMBEIROS - tx insc.em Conc. Públ. Níve l Fundam ental,9139 - BOMBEIROS - tx insc.em Conc. Públ. Níve l Fundam ental
9140,BOMBEIROS - tx insc.em Conc. Públ. Níve l Méd.,9140 - BOMBEIROS - tx insc.em Conc. Públ. Níve l Méd.
9141,BOMBEIROS - tx insc.em Conc. Públ. Níve l Super,9141 - BOMBEIROS - tx insc.em Conc. Públ. Níve l Super
9142,BOMBEIROS - tx utiliz espaços e equi desporto,9142 - BOMBEIROS - tx utiliz espaços e equi desporto
9143,BOMBEIROS - tx hospedagem em estab. do CBMRO,9143 - BOMBEIROS - tx hospedagem em estab. do CBMRO
9144,BOMBEIROS - tx utiliz imóvel do CBMRO,9144 - BOMBEIROS - tx utiliz imóvel do CBMRO
9145,BOMBEIROS - tx reanalise de pro j seg. contra incêndio,9145 - BOMBEIROS - tx reanalise de pro j seg. contra incêndio
9146,BOMBEIROS - tx recarimbam. proj. sef. c/incêndio,9146 - BOMBEIROS - tx recarimbam. proj. sef. c/incêndio
9147,BOMBEIROS - tx outros serviços não previstos,9147 - BOMBEIROS - tx outros serviços não previstos
9201,IPERON - FPF - Ativo Civil,9201 - IPERON - FPF - Ativo Civil
9202,IPERON - FPF - Inativo Civ il,9202 - IPERON - FPF - Inativo Civ il
9203,IPERON - FPF - Pensionista Civil,9203 - IPERON - FPF - Pensionista Civil
9204,IPERON - FPF - Ativo Milita r,9204 - IPERON - FPF - Ativo Milita r
9205,IPERON - FPF - Inativo M ilitar,9205 - IPERON - FPF - Inativo M ilitar
9206,IPERON - FPF - Pensionista M ilitar,9206 - IPERON - FPF - Pensionista M ilitar
9207,IPERON - FPF - Ativo Civil (E .A ),9207 - IPERON - FPF - Ativo Civil (E .A )
9208,IPERON - FPF - Inativo Civil (E .A),9208 - IPERON - FPF - Inativo Civil (E .A)
9209,IPERON - FPF - Pensionista Civil (E.A),9209 - IPERON - FPF - Pensionista Civil (E.A)
9210,IPERON - FPF - Ativo Milita r (E.A ),9210 - IPERON - FPF - Ativo Milita r (E.A )
9211,IPERON - FPF - Inativo Militar (E .A ),9211 - IPERON - FPF - Inativo Militar (E .A )
9212,IPERON - FPF - Pensionista M ilitar (E.A),9212 - IPERON - FPF - Pensionista M ilitar (E.A)
9213,IPERON - FPF - Licenciado sem remuneração,9213 - IPERON - FPF - Licenciado sem remuneração
9214,IPERON - FPF - Ativo Civil Cedido,9214 - IPERON - FPF - Ativo Civil Cedido
9215,IPERON - FPF - Cont. P atr. A tivo Civil,9215 - IPERON - FPF - Cont. P atr. A tivo Civil
9216,IPERON - FPF - Cont. P atr. Inativo Civil,9216 - IPERON - FPF - Cont. P atr. Inativo Civil
9217,IPERON - FPF - Cont. P atr. Pensionis ta Civil,9217 - IPERON - FPF - Cont. P atr. Pensionis ta Civil
9218,IPERON - FPF - Cont. P atr. A tivo Militar,9218 - IPERON - FPF - Cont. P atr. A tivo Militar
9219,IPERON - FPF - Cont. P atr. Inativo Militar,9219 - IPERON - FPF - Cont. P atr. Inativo Militar
9220,IPERON - FPF - Cont. P atr. Pensionis ta Militar,9220 - IPERON - FPF - Cont. P atr. Pensionis ta Militar
9221,IPERON - FPF - Cont. P atr. A tivo Civil (E .A),9221 - IPERON - FPF - Cont. P atr. A tivo Civil (E .A)
9222,IPERON - FPF - Cont. Patr. Inativo Civil (E.A),9222 - IPERON - FPF - Cont. Patr. Inativo Civil (E.A)
9223,IPERON - FPF - Cont. Patr. Pensionis ta Civil (E .A ),9223 - IPERON - FPF - Cont. Patr. Pensionis ta Civil (E .A )
9224,IPERON - FPF - Cont. P atr. A tivo Militar (E.A ),9224 - IPERON - FPF - Cont. P atr. A tivo Militar (E.A )
9225,IPERON - FPF - Cont. Patr. Inativo Militar (E.A ),9225 - IPERON - FPF - Cont. Patr. Inativo Militar (E.A )
9226,IPERON - FPF - Cont. Patr. Pensionis ta Militar (E.A ),9226 - IPERON - FPF - Cont. Patr. Pensionis ta Militar (E.A )
9227,IPERON - FPF - Cobert. Defice - Poder Executivo,9227 - IPERON - FPF - Cobert. Defice - Poder Executivo
9228,IPERON - FPF - Cobert. Defice - Poder Legislativo,9228 - IPERON - FPF - Cobert. Defice - Poder Legislativo
9229,IPERON - FPF - Cobert. Defice - Poder Judiciário,9229 - IPERON - FPF - Cobert. Defice - Poder Judiciário
9230,IPERON - FPF - Cobert. Defice - TCE,9230 - IPERON - FPF - Cobert. Defice - TCE
9231,IPERON - FPF - Cobert. Defice - MPE,9231 - IPERON - FPF - Cobert. Defice - MPE
9232,IPERON - FPF - Cobert. Defice - PM/BM,9232 - IPERON - FPF - Cobert. Defice - PM/BM
9233,IPERON - FPF - Devolução de Pensão do BM,9233 - IPERON - FPF - Devolução de Pensão do BM
9234,IPERON - FPF - Cont. P atr. A tivo Civil C edido,9234 - IPERON - FPF - Cont. P atr. A tivo Civil C edido
9235,IPERON - FPF - Cont. Patr. Licenciado sem remuneração,9235 - IPERON - FPF - Cont. Patr. Licenciado sem remuneração
9236,IPERON- SUPEL- Servidor,9236 - IPERON- SUPEL- Servidor
9237,IPERON- SUPEL- Patronal,9237 - IPERON- SUPEL- Patronal
9238,IPERON- SUPEL- Outros,9238 - IPERON- SUPEL- Outros
9239,IPERON- SUPEL- Lic s/venc- Servidor,9239 - IPERON- SUPEL- Lic s/venc- Servidor
9240,IPERON- SUPEL- Lic s/venc- Patronal,9240 - IPERON- SUPEL- Lic s/venc- Patronal
9241,IPERON- SUPEL- Juros/M /AtM - Servidor,9241 - IPERON- SUPEL- Juros/M /AtM - Servidor
9442,IPERON- SUPEL- Juros/M /AtM - Patronal,9442 - IPERON- SUPEL- Juros/M /AtM - Patronal
